x,y,z
-0.455555555555556,-1,-1
-0.46,-1,-0.9
-0.402777777777778,-0.9,-1
-0.407222222222222,-0.9,-0.9
-0.4,-0.894117647058823,-1
-0.4,-0.884705882352941,-0.9
-0.4,0.894117647058823,-1
-0.4,0.884705882352941,-0.9
-0.402777777777778,0.9,-1
-0.407222222222222,0.9,-0.9
-0.455555555555556,1,-1
-0.46,1,-0.9
-0.342857142857143,-0.8,-1
-0.348571428571429,-0.8,-0.9
-0.3,-0.72,-1
-0.3,-0.709333333333333,-0.9
-0.3,0.72,-1
-0.3,0.709333333333333,-0.9
-0.342857142857143,0.8,-1
-0.348571428571429,0.8,-0.9
-0.285,-0.7,-1
-0.293,-0.7,-0.9
-0.22,-0.6,-1
-0.228,-0.6,-0.9
-0.2,-0.563636363636363,-1
-0.2,-0.549090909090909,-0.9
-0.2,0.563636363636364,-1
-0.2,0.549090909090909,-0.9
-0.22,0.6,-1
-0.228,0.6,-0.9
-0.285,0.7,-1
-0.293,0.7,-0.9
-0.141666666666667,-0.5,-1
-0.155,-0.5,-0.9
-0.1,-0.444444444444444,-1
-0.1,-0.426666666666667,-0.9
-0.1,0.444444444444444,-1
-0.1,0.426666666666667,-0.9
-0.141666666666667,0.5,-1
-0.155,0.5,-0.9
0,-0.4,-1
0,-0.4,-1
-0.0399999999999998,-0.4,-0.9
0,-0.377142857142857,-0.9
0,0.4,-1
0,0.377142857142857,-0.9
-0.0399999999999998,0.4,-0.9
0,0.4,-1
0.1,-0.444444444444444,-1
0.1,-0.426666666666667,-0.9
0.0399999999999998,-0.4,-0.9
0.0399999999999998,0.4,-0.9
0.1,0.444444444444444,-1
0.1,0.426666666666667,-0.9
0.2,-0.563636363636363,-1
0.141666666666667,-0.5,-1
0.2,-0.549090909090909,-0.9
0.155,-0.5,-0.9
0.141666666666667,0.5,-1
0.155,0.5,-0.9
0.2,0.563636363636364,-1
0.2,0.549090909090909,-0.9
0.3,-0.72,-1
0.285,-0.7,-1
0.3,-0.709333333333333,-0.9
0.293,-0.7,-0.9
0.22,-0.6,-1
0.228,-0.6,-0.9
0.22,0.6,-1
0.228,0.6,-0.9
0.285,0.7,-1
0.293,0.7,-0.9
0.3,0.72,-1
