x,y,z
-0.5,-0.3,-1
-0.5,-0.3,-1
-0.5,-0.3,-1
-0.52020202020202,-0.2,-1
-0.5,-0.2,-0.953216374269006
-0.532323232323232,-0.1,-1
-0.5,-0.1,-0.925146198830409
-0.536363636363636,0,-1
-0.5,0,-0.915789473684211
-0.532323232323232,0.1,-1
-0.5,0.1,-0.925146198830409
-0.52020202020202,0.2,-1
-0.5,0.2,-0.953216374269006
-0.5,0.3,-1
-0.5,0.3,-1
-0.5,0.3,-1
-0.4,-0.538636363636364,-1
-0.4,-0.5,-0.960233918128655
-0.420987654320988,-0.5,-1
-0.465432098765432,-0.4,-1
-0.4,-0.428472222222222,-0.9
-0.412654320987654,-0.4,-0.9
-0.447222222222222,-0.3,-0.9
-0.471913580246914,-0.2,-0.9
-0.486728395061728,-0.1,-0.9
-0.491666666666667,0,-0.9
-0.486728395061728,0.1,-0.9
-0.471913580246914,0.2,-0.9
-0.447222222222222,0.3,-0.9
-0.465432098765432,0.4,-1
-0.412654320987654,0.4,-0.9
-0.420987654320988,0.5,-1
-0.4,0.428472222222222,-0.9
-0.4,0.5,-0.960233918128655
-0.4,0.538636363636364,-1
-0.3,-0.669230769230769,-1
-0.3,-0.6,-0.91578947368421
-0.357142857142857,-0.6,-1
-0.3,-0.584659090909091,-0.9
-0.359126984126984,-0.5,-0.9
-0.359126984126984,0.5,-0.9
-0.357142857142857,0.6,-1
-0.3,0.6,-0.91578947368421
-0.3,0.584659090909091,-0.9
-0.3,0.669230769230769,-1
-0.2,-0.748333333333333,-1
-0.2,-0.7,-0.932163742690058
-0.264444444444444,-0.7,-1
-0.2,-0.673557692307692,-0.9
-0.285,-0.6,-0.9
-0.285,0.6,-0.9
-0.264444444444444,0.7,-1
-0.2,0.7,-0.932163742690058
-0.2,0.673557692307692,-0.9
-0.2,0.748333333333333,-1
-0.1,-0.793333333333333,-1
-0.1,-0.722083333333333,-0.9
-0.149074074074074,-0.7,-0.9
-0.149074074074074,0.7,-0.9
-0.1,0.793333333333333,-1
-0.1,0.722083333333333,-0.9
0,-0.80735294117647,-1
0,-0.8,-0.988304093567252
-0.055555555555555,-0.8,-1
0,-0.737083333333333,-0.9
-0.055555555555555,0.8,-1
0,0.737083333333333,-0.9
0,0.8,-0.988304093567252
0,0.807352941176471,-1
0.055555555555555,-0.8,-1
0.1,-0.793333333333333,-1
0.1,-0.722083333333333,-0.9
0.1,0.793333333333333,-1
0.055555555555555,0.8,-1
0.1,0.722083333333333,-0.9
0.2,-0.748333333333333,-1
0.2,-0.7,-0.932163742690058
0.149074074074074,-0.7,-0.9
0.2,-0.673557692307692,-0.9
0.2,0.7,-0.932163742690058
0.149074074074074,0.7,-0.9
0.2,0.673557692307692,-0.9
0.2,0.748333333333333,-1
0.264444444444444,-0.7,-1
0.3,-0.669230769230769,-1
0.3,-0.6,-0.91578947368421
0.285,-0.6,-0.9
0.3,-0.584659090909091,-0.9
0.3,0.6,-0.91578947368421
0.285,0.6,-0.9
0.3,0.584659090909091,-0.9
0.3,0.669230769230769,-1
0.264444444444444,0.7,-1
0.357142857142857,-0.6,-1
0.4,-0.538636363636364,-1
0.4,-0.5,-0.960233918128655
0.359126984126984,-0.5,-0.9
0.4,-0.428472222222222,-0.9
0.4,0.5,-0.960233918128655
0.359126984126984,0.5,-0.9
0.4,0.428472222222222,-0.9
0.4,0.538636363636364,-1
0.357142857142857,0.6,-1
0.420987654320988,-0.5,-1
0.465432098765432,-0.4,-1
0.412654320987654,-0.4,-0.9
0.5,-0.3,-1
0.5,-0.3,-1
0.447222222222222,-0.3,-0.9
0.5,-0.2,-0.953216374269006
0.471913580246914,-0.2,-0.9
0.5,-0.1,-0.925146198830409
0.486728395061728,-0.1,-0.9
0.5,0,-0.915789473684211
0.491666666666667,0,-0.9
0.5,0.1,-0.925146198830409
0.486728395061728,0.1,-0.9
0.5,0.2,-0.953216374269006
0.471913580246914,0.2,-0.9
