x,y,z
0,0,-0.4
0,-8.88178419700125e-16,-0.4
-8.88178419700125e-16,0,-0.4
0,8.88178419700125e-16,-0.4
8.88178419700125e-16,0,-0.4
-0.2,-0.1,-0.328571428571429
-0.2,-0.166666666666667,-0.3
-0.24,-0.1,-0.3
-0.2,0,-0.342857142857143
-0.26,0,-0.3
-0.2,0.1,-0.328571428571429
-0.24,0.1,-0.3
-0.2,0.166666666666667,-0.3
-0.1,-0.2,-0.328571428571429
-0.1,-0.24,-0.3
-0.166666666666667,-0.2,-0.3
-0.1,-0.1,-0.371428571428571
-0.1,0,-0.385714285714286
-0.1,0.1,-0.371428571428571
-0.166666666666667,0.2,-0.3
-0.1,0.2,-0.328571428571429
-0.1,0.24,-0.3
0,-0.2,-0.342857142857143
0,-0.26,-0.3
0,-0.1,-0.385714285714286
0,0.1,-0.385714285714286
0,0.2,-0.342857142857143
0,0.26,-0.3
0.1,-0.2,-0.328571428571429
0.1,-0.24,-0.3
0.1,-0.1,-0.371428571428571
0.1,0,-0.385714285714286
0.1,0.1,-0.371428571428571
0.1,0.2,-0.328571428571429
0.1,0.24,-0.3
0.166666666666667,-0.2,-0.3
0.2,-0.1,-0.328571428571429
0.2,-0.166666666666667,-0.3
0.2,0,-0.342857142857143
0.2,0.1,-0.328571428571429
0.166666666666667,0.2,-0.3
0.2,0.166666666666667,-0.3
0.24,-0.1,-0.3
0.26,0,-0.3
0.24,0.1,-0.3
-0.3,-0.1,-0.24
-0.3,-0.166666666666667,-0.2
-0.328571428571429,-0.1,-0.2
-0.3,0,-0.26
-0.342857142857143,0,-0.2
-0.3,0.1,-0.24
-0.328571428571429,0.1,-0.2
-0.3,0.166666666666667,-0.2
-0.2,-0.2,-0.28
-0.2,-0.28,-0.2
-0.28,-0.2,-0.2
-0.2,0.2,-0.28
-0.28,0.2,-0.2
-0.2,0.28,-0.2
-0.1,-0.3,-0.24
-0.1,-0.328571428571429,-0.2
-0.166666666666667,-0.3,-0.2
-0.1,0.3,-0.24
-0.166666666666667,0.3,-0.2
-0.1,0.328571428571429,-0.2
0,-0.3,-0.26
0,-0.342857142857143,-0.2
0,0.3,-0.26
0,0.342857142857143,-0.2
0.1,-0.3,-0.24
0.1,-0.328571428571429,-0.2
0.1,0.3,-0.24
0.1,0.328571428571429,-0.2
0.166666666666667,-0.3,-0.2
0.2,-0.2,-0.28
0.2,-0.28,-0.2
0.2,0.2,-0.28
0.2,0.28,-0.2
0.166666666666667,0.3,-0.2
0.28,-0.2,-0.2
0.3,-0.1,-0.24
0.3,-0.166666666666667,-0.2
0.3,0,-0.26
0.3,0.1,-0.24
0.3,0.166666666666667,-0.2
0.28,0.2,-0.2
0.328571428571429,-0.1,-0.2
0.342857142857143,0,-0.2
0.328571428571429,0.1,-0.2
-0.3,-0.2,-0.166666666666667
-0.3,-0.24,-0.1
-0.328571428571429,-0.2,-0.1
-0.371428571428571,-0.1,-0.1
-0.385714285714286,0,-0.1
-0.371428571428571,0.1,-0.1
-0.328571428571429,0.2,-0.1
-0.3,0.2,-0.166666666666667
-0.3,0.24,-0.1
-0.2,-0.3,-0.166666666666667
-0.2,-0.328571428571429,-0.1
-0.24,-0.3,-0.1
-0.2,0.3,-0.166666666666667
-0.24,0.3,-0.1
-0.2,0.328571428571429,-0.1
-0.1,-0.371428571428571,-0.1
-0.1,0.371428571428571,-0.1
0,-0.385714285714286,-0.1
0,0.385714285714286,-0.1
0.1,-0.371428571428571,-0.1
0.1,0.371428571428571,-0.1
0.2,-0.3,-0.166666666666667
0.2,-0.328571428571429,-0.1
0.2,0.3,-0.166666666666667
0.2,0.328571428571429,-0.1
0.24,-0.3,-0.1
0.3,-0.2,-0.166666666666667
0.3,-0.24,-0.1
0.3,0.2,-0.166666666666667
0.3,0.24,-0.1
0.24,0.3,-0.1
0.328571428571429,-0.2,-0.1
0.371428571428571,-0.1,-0.1
0.385714285714286,0,-0.1
0.371428571428571,0.1,-0.1
0.328571428571429,0.2,-0.1
-0.4,0,-8.88178419700125e-16
-0.4,-8.88178419700125e-16,0
-0.4,0,0
-0.4,8.88178419700125e-16,0
-0.3,-0.26,0
-0.342857142857143,-0.2,0
-0.385714285714286,-0.1,0
-0.385714285714286,0.1,0
-0.342857142857143,0.2,0
-0.3,0.26,0
-0.2,-0.342857142857143,0
-0.26,-0.3,0
-0.26,0.3,0
-0.2,0.342857142857143,0
-0.1,-0.385714285714286,0
-0.1,0.385714285714286,0
0,-0.4,-8.88178419700125e-16
0,-0.4,0
-8.88178419700125e-16,-0.4,0
0,0.4,-8.88178419700125e-16
-8.88178419700125e-16,0.4,0
0,0.4,0
8.88178419700125e-16,-0.4,0
0.1,-0.385714285714286,0
0.1,0.385714285714286,0
8.88178419700125e-16,0.4,0
0.2,-0.342857142857143,0
0.2,0.342857142857143,0
0.26,-0.3,0
0.3,-0.26,0
0.3,0.26,0
0.26,0.3,0
0.342857142857143,-0.2,0
0.385714285714286,-0.1,0
0.4,0,-8.88178419700125e-16
0.4,-8.88178419700125e-16,0
0.385714285714286,0.1,0
0.4,8.88178419700125e-16,0
0.342857142857143,0.2,0
0.4,0,0
-0.4,0,8.88178419700125e-16
-0.3,-0.24,0.1
-0.328571428571429,-0.2,0.1
-0.371428571428571,-0.1,0.1
-0.385714285714286,0,0.1
-0.371428571428571,0.1,0.1
-0.328571428571429,0.2,0.1
-0.3,0.24,0.1
-0.2,-0.328571428571429,0.1
-0.24,-0.3,0.1
