x,y,z
-0.3,-0.6,-0.903871100252599
-0.3,-0.624269373555908,-0.9
-0.310507272114196,-0.6,-0.9
-0.3,-0.5,-0.915021182639154
-0.340771781449132,-0.5,-0.9
-0.3,-0.4,-0.922126006191951
-0.360056302521008,-0.4,-0.9
-0.3,-0.3,-0.926744367102532
-0.372591853564015,-0.3,-0.9
-0.3,-0.2,-0.929656673328892
-0.380496684749849,-0.2,-0.9
-0.3,-0.1,-0.931271447835197
-0.384879644124106,-0.1,-0.9
-0.3,0,-0.931789473684211
-0.386285714285714,0,-0.9
-0.3,0.1,-0.931271447835197
-0.384879644124106,0.1,-0.9
-0.3,0.2,-0.929656673328892
-0.380496684749849,0.2,-0.9
-0.3,0.3,-0.926744367102532
-0.372591853564015,0.3,-0.9
-0.3,0.4,-0.922126006191951
-0.360056302521008,0.4,-0.9
-0.3,0.5,-0.915021182639154
-0.340771781449132,0.5,-0.9
-0.3,0.6,-0.903871100252599
-0.310507272114196,0.6,-0.9
-0.3,0.624269373555908,-0.9
-0.2,-0.7,-0.911501306457633
-0.2,-0.739058026128573,-0.9
-0.243704964539007,-0.7,-0.9
-0.2,-0.6,-0.930186889726283
-0.2,-0.5,-0.941336972112838
-0.2,-0.4,-0.948441795665635
-0.2,-0.3,-0.953060156576216
-0.2,-0.2,-0.955972462802576
-0.2,-0.1,-0.957587237308881
-0.2,0,-0.958105263157895
-0.2,0.1,-0.957587237308881
-0.2,0.2,-0.955972462802576
-0.2,0.3,-0.953060156576216
-0.2,0.4,-0.948441795665635
-0.2,0.5,-0.941336972112838
-0.2,0.6,-0.930186889726283
-0.243704964539007,0.7,-0.9
-0.2,0.7,-0.911501306457633
-0.2,0.739058026128573,-0.9
-0.1,-0.7,-0.927290780141844
-0.1,-0.781290855457227,-0.9
-0.1,-0.6,-0.945976363410493
-0.1,-0.5,-0.957126445797049
-0.1,-0.4,-0.964231269349845
-0.1,-0.3,-0.968849630260427
-0.1,-0.2,-0.971761936486787
-0.1,-0.1,-0.973376710993092
-0.1,0,-0.973894736842105
-0.1,0.1,-0.973376710993092
-0.1,0.2,-0.971761936486787
-0.1,0.3,-0.968849630260427
-0.1,0.4,-0.964231269349845
-0.1,0.5,-0.957126445797049
-0.1,0.6,-0.945976363410493
-0.1,0.7,-0.927290780141844
