x,y,z
-0.6,-0.4,-0.91631729275585
-0.6,-0.485243366734862,-0.9
-0.627937969642589,-0.4,-0.9
-0.6,-0.3,-0.928500422382014
-0.648797551605132,-0.3,-0.9
-0.6,-0.2,-0.935984862120605
-0.661612180437086,-0.2,-0.9
-0.6,-0.1,-0.9400707368886
-0.668607890260994,-0.1,-0.9
-0.6,0,-0.94137199552356
-0.670835865500797,0,-0.9
-0.6,0.1,-0.9400707368886
-0.668607890260994,0.1,-0.9
-0.6,0.2,-0.935984862120605
-0.661612180437086,0.2,-0.9
-0.6,0.3,-0.928500422382014
-0.648797551605132,0.3,-0.9
-0.6,0.4,-0.91631729275585
-0.627937969642589,0.4,-0.9
-0.6,0.485243366734862,-0.9
-0.5,-0.6,-0.910222462190618
-0.5,-0.62694543009136,-0.9
-0.527201826000899,-0.6,-0.9
-0.5,-0.5,-0.935133524279399
-0.59348980670466,-0.5,-0.9
-0.5,-0.4,-0.949988092402953
-0.5,-0.3,-0.959252416131952
-0.5,-0.2,-0.964943751182643
-0.5,-0.1,-0.968050741564291
-0.5,0,-0.969040247678019
-0.5,0.1,-0.968050741564291
-0.5,0.2,-0.964943751182643
-0.5,0.3,-0.959252416131952
-0.5,0.4,-0.949988092402953
-0.59348980670466,0.5,-0.9
-0.5,0.5,-0.935133524279399
-0.5,0.6,-0.910222462190618
-0.527201826000899,0.6,-0.9
-0.5,0.62694543009136,-0.9
-0.4,-0.6,-0.934255152992068
-0.4,-0.690293298522908,-0.9
-0.4,-0.5,-0.955083485019991
-0.4,-0.4,-0.967503504524022
-0.4,-0.3,-0.975249477375523
-0.4,-0.2,-0.980008046708917
-0.4,-0.1,-0.982605825440546
-0.4,0,-0.983433159169109
-0.4,0.1,-0.982605825440546
-0.4,0.2,-0.980008046708917
-0.4,0.3,-0.975249477375523
-0.4,0.4,-0.967503504524022
-0.4,0.5,-0.955083485019991
-0.4,0.6,-0.934255152992068
-0.4,0.690293298522909,-0.9
-0.3,-0.7,-0.913426421001054
-0.3,-0.723253744199173,-0.9
-0.375707843003154,-0.7,-0.9
-0.3,-0.6,-0.948116789559352
-0.3,-0.5,-0.966590274151609
-0.3,-0.4,-0.977606088506578
-0.3,-0.3,-0.984476303074524
-0.3,-0.2,-0.988696869423466
-0.3,-0.1,-0.991000943763577
-0.3,0,-0.991734739291071
-0.3,0.1,-0.991000943763577
-0.3,0.2,-0.988696869423466
-0.3,0.3,-0.984476303074524
-0.3,0.4,-0.977606088506578
-0.3,0.5,-0.966590274151609
-0.3,0.6,-0.948116789559352
-0.375707843003154,0.7,-0.9
-0.3,0.7,-0.913426421001054
-0.3,0.723253744199173,-0.9
-0.2,-0.7,-0.92414412629334
-0.2,-0.741816157611458,-0.9
-0.2,-0.6,-0.95624233906228
-0.2,-0.5,-0.97333543618604
-0.2,-0.4,-0.983528119852537
-0.2,-0.3,-0.98988497387672
-0.2,-0.2,-0.993790168381821
-0.2,-0.1,-0.995922076213242
-0.2,0,-0.996601040604492
-0.2,0.1,-0.995922076213242
-0.2,0.2,-0.993790168381821
-0.2,0.3,-0.98988497387672
-0.2,0.4,-0.983528119852537
-0.2,0.5,-0.97333543618604
-0.2,0.6,-0.95624233906228
-0.2,0.7,-0.92414412629334
-0.2,0.741816157611458,-0.9
-0.1,-0.7,-0.929838918424278
-0.1,-0.751679191063924,-0.9
-0.1,-0.6,-0.960559803865322
-0.1,-0.5,-0.976919439909601
-0.1,-0.4,-0.986674757737086
-0.1,-0.3,-0.992758840537837
-0.1,-0.2,-0.996496463996184
-0.1,-0.1,-0.998536892126292
-0.1,0,-0.999186722303202
-0.1,0.1,-0.998536892126292
-0.1,0.2,-0.996496463996184
-0.1,0.3,-0.992758840537837
-0.1,0.4,-0.986674757737086
-0.1,0.5,-0.976919439909601
-0.1,0.6,-0.960559803865322
-0.1,0.7,-0.929838918424278
-0.1,0.751679191063924,-0.9
0,-0.7,-0.931630108511712
0,-0.75478142330452,-0.9
0,-0.6,-0.961917781466654
0,-0.5,-0.978046721080777
0,-0.4,-0.987664473684211
0,-0.3,-0.993662761411092
0,-0.2,-0.997347678538639
0,-0.1,-0.999359333443944
0,0,-1
0,0.1,-0.999359333443944
0,0.2,-0.997347678538639
0,0.3,-0.993662761411092
0,0.4,-0.987664473684211
0,0.5,-0.978046721080777
0,0.6,-0.961917781466654
0,0.7,-0.931630108511712
0,0.75478142330452,-0.9
0.1,-0.7,-0.929838918424278
0.1,-0.751679191063924,-0.9
0.1,-0.6,-0.960559803865322
0.1,-0.5,-0.976919439909601
0.1,-0.4,-0.986674757737086
0.1,-0.3,-0.992758840537837
0.1,-0.2,-0.996496463996184
0.1,-0.1,-0.998536892126292
0.1,0,-0.999186722303202
0.1,0.1,-0.998536892126292
0.1,0.2,-0.996496463996184
0.1,0.3,-0.992758840537837
0.1,0.4,-0.986674757737086
0.1,0.5,-0.976919439909601
0.1,0.6,-0.960559803865322
0.1,0.7,-0.929838918424278
0.1,0.751679191063924,-0.9
0.2,-0.7,-0.92414412629334
0.2,-0.741816157611458,-0.9
0.2,-0.6,-0.95624233906228
0.2,-0.5,-0.97333543618604
0.2,-0.4,-0.983528119852537
0.2,-0.3,-0.98988497387672
0.2,-0.2,-0.993790168381821
0.2,-0.1,-0.995922076213242
0.2,0,-0.996601040604492
0.2,0.1,-0.995922076213242
0.2,0.2,-0.993790168381821
0.2,0.3,-0.98988497387672
0.2,0.4,-0.983528119852537
0.2,0.5,-0.97333543618604
0.2,0.6,-0.95624233906228
0.2,0.7,-0.92414412629334
0.2,0.741816157611458,-0.9
0.3,-0.7,-0.913426421001054
0.3,-0.723253744199173,-0.9
