x,y,z
-0.7,-0.541636329003533,-1
-0.7,-0.5,-0.974040015035859
-0.718096568336036,-0.5,-1
-0.750584178737968,-0.4,-1
-0.7,-0.4,-0.933126241266714
-0.773389091104573,-0.3,-1
-0.7,-0.3,-0.908039695936023
-0.788522573353694,-0.2,-1
-0.7,-0.248882613957241,-0.9
-0.707391878977654,-0.2,-0.9
-0.797180652403012,-0.1,-1
-0.716110138468884,-0.1,-0.9
-0.8,0,-1
-0.718933333333333,0,-0.9
-0.797180652403012,0.1,-1
-0.716110138468884,0.1,-0.9
-0.788522573353694,0.2,-1
-0.707391878977654,0.2,-0.9
-0.773389091104573,0.3,-1
-0.7,0.248882613957241,-0.9
-0.7,0.3,-0.908039695936023
-0.750584178737968,0.4,-1
-0.7,0.4,-0.933126241266714
-0.718096568336036,0.5,-1
-0.7,0.5,-0.974040015035859
-0.7,0.541636329003533,-1
-0.6,-0.693034421941865,-1
-0.6,-0.6,-0.927894117861239
-0.668382698246952,-0.6,-1
-0.6,-0.542687278652321,-0.9
-0.62344674556213,-0.5,-0.9
-0.663432680944777,-0.4,-0.9
-0.690741173719897,-0.3,-0.9
-0.690741173719897,0.3,-0.9
-0.663432680944777,0.4,-0.9
-0.62344674556213,0.5,-0.9
-0.668382698246952,0.6,-1
-0.6,0.6,-0.927894117861239
-0.6,0.542687278652321,-0.9
-0.6,0.693034421941865,-1
-0.5,-0.775982481766711,-1
-0.5,-0.7,-0.925687756828951
-0.593315544190701,-0.7,-1
-0.5,-0.660514062208977,-0.9
-0.55887021373747,-0.6,-0.9
-0.55887021373747,0.6,-0.9
-0.593315544190701,0.7,-1
-0.5,0.7,-0.925687756828951
-0.5,0.660514062208977,-0.9
-0.5,0.775982481766711,-1
-0.4,-0.828216130286341,-1
-0.4,-0.8,-0.964250903075521
-0.458993629595646,-0.8,-1
-0.4,-0.726769518466573,-0.9
-0.446360618573395,-0.7,-0.9
-0.446360618573395,0.7,-0.9
-0.458993629595646,0.8,-1
-0.4,0.8,-0.964250903075521
-0.4,0.726769518466573,-0.9
-0.4,0.828216130286341,-1
-0.3,-0.861833324106159,-1
-0.3,-0.8,-0.92742898078537
-0.3,-0.766751199513845,-0.9
-0.3,0.8,-0.92742898078537
-0.3,0.766751199513845,-0.9
-0.3,0.861833324106159,-1
-0.2,-0.883675726628218,-1
-0.2,-0.8,-0.90627867130672
-0.2,-0.792100840336134,-0.9
-0.2,0.8,-0.90627867130672
-0.2,0.792100840336134,-0.9
-0.2,0.883675726628218,-1
-0.1,-0.896009091638622,-1
-0.1,-0.805472774139551,-0.9
-0.144667708295483,-0.8,-0.9
-0.144667708295483,0.8,-0.9
-0.1,0.896009091638622,-1
-0.1,0.805472774139551,-0.9
0,-0.9,-1
0,-0.809470588235294,-0.9
0,0.9,-1
0,0.809470588235294,-0.9
0.1,-0.896009091638622,-1
0.1,-0.805472774139551,-0.9
0.1,0.896009091638622,-1
0.1,0.805472774139551,-0.9
0.2,-0.883675726628218,-1
0.2,-0.8,-0.90627867130672
0.144667708295483,-0.8,-0.9
0.2,-0.792100840336134,-0.9
0.2,0.8,-0.90627867130672
0.144667708295483,0.8,-0.9
0.2,0.792100840336134,-0.9
0.2,0.883675726628218,-1
0.3,-0.861833324106159,-1
0.3,-0.8,-0.92742898078537
0.3,-0.766751199513845,-0.9
0.3,0.8,-0.92742898078537
0.3,0.766751199513845,-0.9
0.3,0.861833324106159,-1
0.4,-0.828216130286341,-1
0.4,-0.8,-0.964250903075521
0.4,-0.726769518466573,-0.9
0.4,0.8,-0.964250903075521
0.4,0.726769518466573,-0.9
0.4,0.828216130286341,-1
0.458993629595646,-0.8,-1
0.5,-0.775982481766711,-1
0.5,-0.7,-0.925687756828951
0.446360618573395,-0.7,-0.9
0.5,-0.660514062208977,-0.9
0.5,0.7,-0.925687756828951
0.446360618573395,0.7,-0.9
0.5,0.660514062208977,-0.9
0.5,0.775982481766711,-1
0.458993629595646,0.8,-1
0.593315544190702,-0.7,-1
0.6,-0.693034421941865,-1
0.6,-0.6,-0.927894117861239
0.55887021373747,-0.6,-0.9
0.6,-0.542687278652321,-0.9
0.6,0.6,-0.927894117861239
0.55887021373747,0.6,-0.9
0.6,0.542687278652321,-0.9
0.6,0.693034421941865,-1
0.593315544190702,0.7,-1
0.668382698246952,-0.6,-1
0.7,-0.541636329003533,-1
0.7,-0.5,-0.974040015035859
0.62344674556213,-0.5,-0.9
0.7,-0.4,-0.933126241266714
0.663432680944777,-0.4,-0.9
0.7,-0.3,-0.908039695936023
0.690741173719897,-0.3,-0.9
0.7,-0.248882613957241,-0.9
0.7,0.3,-0.908039695936023
0.690741173719897,0.3,-0.9
0.7,0.248882613957241,-0.9
0.7,0.4,-0.933126241266714
0.663432680944777,0.4,-0.9
0.7,0.5,-0.974040015035859
0.62344674556213,0.5,-0.9
0.7,0.541636329003533,-1
0.668382698246952,0.6,-1
0.718096568336037,-0.5,-1
0.750584178737968,-0.4,-1
0.773389091104573,-0.3,-1
0.788522573353694,-0.2,-1
0.707391878977654,-0.2,-0.9
0.797180652403012,-0.1,-1
0.716110138468884,-0.1,-0.9
0.8,0,-1
0.718933333333333,0,-0.9
0.797180652403012,0.1,-1
0.716110138468884,0.1,-0.9
0.788522573353694,0.2,-1
0.707391878977654,0.2,-0.9
0.773389091104573,0.3,-1
0.750584178737968,0.4,-1
0.718096568336037,0.5,-1
-0.7,-0.2,-0.887371083226413
-0.7,-0.1,-0.873420277384735
-0.7,0,-0.869105560032232
-0.7,0.1,-0.873420277384735
-0.7,0.2,-0.887371083226413
-0.6,-0.5,-0.867786472626907
-0.6,-0.4,-0.821173797150263
-0.6,-0.323736331974508,-0.8
-0.606471735055991,-0.3,-0.8
-0.624732107327121,-0.2,-0.8
-0.634890087215659,-0.1,-0.8
-0.638153846153846,0,-0.8
-0.634890087215659,0.1,-0.8
-0.624732107327121,0.2,-0.8
-0.606471735055991,0.3,-0.8
-0.6,0.323736331974508,-0.8
-0.6,0.4,-0.821173797150263
-0.6,0.5,-0.867786472626907
-0.5,-0.6,-0.841725844487993
-0.5,-0.529753500780989,-0.8
-0.521689498337333,-0.5,-0.8
-0.573611550547814,-0.4,-0.8
-0.573611550547814,0.4,-0.8
-0.521689498337333,0.5,-0.8
-0.5,0.6,-0.841725844487993
-0.5,0.529753500780989,-0.8
-0.4,-0.7,-0.866038125457652
-0.4,-0.620417832689263,-0.8
-0.428209081050635,-0.6,-0.8
-0.428209081050635,0.6,-0.8
-0.4,0.7,-0.866038125457652
-0.4,0.620417832689263,-0.8
-0.3,-0.7,-0.823181010492811
-0.3,-0.669877161519167,-0.8
-0.3,0.7,-0.823181010492811
-0.3,0.669877161519167,-0.8
-0.2,-0.700113618192009,-0.8
-0.200460781400527,-0.7,-0.8
-0.200460781400527,0.7,-0.8
-0.2,0.700113618192009,-0.8
-0.1,-0.8,-0.891581886904112
-0.1,-0.714391490194575,-0.8
-0.1,0.714391490194575,-0.8
-0.1,0.8,-0.891581886904112
0,-0.8,-0.885647939250537
0,-0.718933333333333,-0.8
0,0.8,-0.885647939250537
0,0.718933333333333,-0.8
0.1,-0.8,-0.891581886904112
0.1,-0.714391490194575,-0.8
0.1,0.8,-0.891581886904112
0.1,0.714391490194575,-0.8
0.2,-0.700113618192009,-0.8
0.2,0.700113618192009,-0.8
0.3,-0.7,-0.823181010492811
0.200460781400527,-0.7,-0.8
0.3,-0.669877161519167,-0.8
0.3,0.7,-0.823181010492811
0.200460781400527,0.7,-0.8
0.3,0.669877161519167,-0.8
0.4,-0.7,-0.866038125457652
0.4,-0.620417832689263,-0.8
0.4,0.7,-0.866038125457652
0.4,0.620417832689263,-0.8
0.5,-0.6,-0.841725844487993
0.428209081050635,-0.6,-0.8
0.5,-0.529753500780989,-0.8
0.5,0.6,-0.841725844487993
0.428209081050635,0.6,-0.8
0.5,0.529753500780989,-0.8
0.6,-0.5,-0.867786472626907
0.521689498337333,-0.5,-0.8
0.6,-0.4,-0.821173797150263
0.573611550547814,-0.4,-0.8
0.6,-0.323736331974508,-0.8
0.6,0.4,-0.821173797150263
0.573611550547814,0.4,-0.8
0.6,0.323736331974508,-0.8
0.6,0.5,-0.867786472626907
0.521689498337333,0.5,-0.8
0.606471735055991,-0.3,-0.8
0.7,-0.2,-0.887371083226413
0.62473210732712,-0.2,-0.8
0.7,-0.1,-0.873420277384735
0.634890087215659,-0.1,-0.8
0.7,0,-0.869105560032232
0.638153846153846,0,-0.8
0.7,0.1,-0.873420277384735
0.634890087215659,0.1,-0.8
0.7,0.2,-0.887371083226413
0.62473210732712,0.2,-0.8
0.606471735055991,0.3,-0.8
-0.6,-0.3,-0.788708622438629
-0.6,-0.2,-0.76012349238498
-0.6,-0.1,-0.746023698597135
-0.6,0,-0.741732745961821
-0.6,0.1,-0.746023698597135
-0.6,0.2,-0.76012349238498
-0.6,0.3,-0.788708622438629
-0.5,-0.5,-0.771404737593226
-0.5,-0.4,-0.714759931456455
-0.5,-0.354819201831956,-0.7
-0.51933419525471,-0.3,-0.7
-0.541772160759401,-0.2,-0.7
-0.553950228635223,-0.1,-0.7
-0.557818181818182,0,-0.7
-0.553950228635223,0.1,-0.7
-0.541772160759401,0.2,-0.7
-0.51933419525471,0.3,-0.7
-0.5,0.4,-0.714759931456455
-0.5,0.354819201831956,-0.7
-0.5,0.5,-0.771404737593226
-0.4,-0.6,-0.773765986394558
-0.4,-0.504866700654775,-0.7
-0.405072905553015,-0.5,-0.7
-0.478543516695436,-0.4,-0.7
-0.478543516695436,0.4,-0.7
-0.405072905553015,0.5,-0.7
-0.4,0.6,-0.773765986394558
-0.4,0.504866700654775,-0.7
-0.3,-0.6,-0.721217416422412
-0.3,-0.569894998382279,-0.7
-0.3,0.6,-0.721217416422412
-0.3,0.569894998382279,-0.7
-0.2,-0.7,-0.799814790596294
-0.2,-0.606346568296091,-0.7
-0.221297735423324,-0.6,-0.7
-0.221297735423324,0.6,-0.7
-0.2,0.7,-0.799814790596294
-0.2,0.606346568296091,-0.7
-0.1,-0.7,-0.777934117908406
-0.1,-0.623125425325959,-0.7
-0.1,0.7,-0.777934117908406
-0.1,0.623125425325959,-0.7
0,-0.7,-0.771508738929383
0,-0.628384615384615,-0.7
0,0.7,-0.771508738929383
0,0.628384615384615,-0.7
0.1,-0.7,-0.777934117908406
0.1,-0.623125425325959,-0.7
0.1,0.7,-0.777934117908406
0.1,0.623125425325959,-0.7
0.2,-0.7,-0.799814790596294
0.2,-0.606346568296091,-0.7
0.2,0.7,-0.799814790596294
0.2,0.606346568296091,-0.7
0.3,-0.6,-0.721217416422412
0.221297735423324,-0.6,-0.7
0.3,-0.569894998382279,-0.7
0.3,0.6,-0.721217416422412
0.221297735423324,0.6,-0.7
0.3,0.569894998382279,-0.7
0.4,-0.6,-0.773765986394558
0.4,-0.504866700654775,-0.7
0.4,0.6,-0.773765986394558
0.4,0.504866700654775,-0.7
0.5,-0.5,-0.771404737593226
0.405072905553015,-0.5,-0.7
0.5,-0.4,-0.714759931456455
0.478543516695436,-0.4,-0.7
0.5,-0.354819201831956,-0.7
0.5,0.4,-0.714759931456455
0.478543516695436,0.4,-0.7
0.5,0.354819201831956,-0.7
0.5,0.5,-0.771404737593226
0.405072905553015,0.5,-0.7
0.6,-0.3,-0.788708622438629
0.51933419525471,-0.3,-0.7
0.6,-0.2,-0.76012349238498
0.541772160759401,-0.2,-0.7
0.6,-0.1,-0.746023698597135
0.553950228635223,-0.1,-0.7
0.6,0,-0.741732745961821
0.557818181818182,0,-0.7
0.6,0.1,-0.746023698597135
0.553950228635223,0.1,-0.7
0.6,0.2,-0.76012349238498
0.541772160759401,0.2,-0.7
0.6,0.3,-0.788708622438629
0.51933419525471,0.3,-0.7
-1,-1,-0.609938239615659
-1,-0.971095719894035,-0.6
-0.961059511523908,-1,-0.6
-1,1,-0.609938239615659
-0.961059511523908,1,-0.6
-1,0.971095719894035,-0.6
-0.5,-0.3,-0.667850295268042
-0.5,-0.2,-0.637107223255713
-0.5,-0.1,-0.62273675405461
-0.5,0,-0.618461538461539
-0.5,0.1,-0.62273675405461
-0.5,0.2,-0.637107223255713
-0.5,0.3,-0.667850295268042
-0.4,-0.5,-0.693490873533246
-0.4,-0.4,-0.616068334119868
-0.4,-0.359972067630193,-0.6
-0.429080163223844,-0.3,-0.6
-0.458253593005366,-0.2,-0.6
-0.473474272260727,-0.1,-0.6
-0.478222222222222,0,-0.6
-0.473474272260727,0.1,-0.6
-0.458253593005366,0.2,-0.6
-0.429080163223844,0.3,-0.6
-0.4,0.4,-0.616068334119868
-0.4,0.359972067630193,-0.6
-0.4,0.5,-0.693490873533246
-0.3,-0.5,-0.622708118876406
-0.3,-0.463811711282249,-0.6
-0.371274434991249,-0.4,-0.6
-0.371274434991249,0.4,-0.6
-0.3,0.463811711282249,-0.6
-0.3,0.5,-0.622708118876406
-0.2,-0.6,-0.689476424789785
-0.2,-0.511162343139704,-0.6
-0.229767058338487,-0.5,-0.6
-0.229767058338487,0.5,-0.6
-0.2,0.6,-0.689476424789785
-0.2,0.511162343139704,-0.6
-0.1,-0.6,-0.664658456058634
-0.1,-0.531568596633572,-0.6
-0.1,0.6,-0.664658456058634
-0.1,0.531568596633572,-0.6
0,-0.6,-0.657660695468915
0,-0.537818181818182,-0.6
0,0.6,-0.657660695468915
0,0.537818181818182,-0.6
0.1,-0.6,-0.664658456058634
0.1,-0.531568596633572,-0.6
0.1,0.6,-0.664658456058634
0.1,0.531568596633572,-0.6
0.2,-0.6,-0.689476424789785
0.2,-0.511162343139704,-0.6
0.2,0.6,-0.689476424789785
0.2,0.511162343139704,-0.6
0.3,-0.5,-0.622708118876406
0.229767058338487,-0.5,-0.6
0.3,-0.463811711282249,-0.6
0.3,0.5,-0.622708118876406
0.229767058338487,0.5,-0.6
0.3,0.463811711282249,-0.6
0.4,-0.5,-0.693490873533246
0.4,-0.4,-0.616068334119868
0.371274434991249,-0.4,-0.6
0.4,-0.359972067630193,-0.6
0.4,0.4,-0.616068334119868
0.371274434991249,0.4,-0.6
0.4,0.359972067630193,-0.6
0.4,0.5,-0.693490873533246
0.5,-0.3,-0.667850295268042
0.429080163223844,-0.3,-0.6
0.5,-0.2,-0.637107223255713
