x,y,z
-0.9,0,-1
-0.9,0,-0.9
-0.8,-0.853822010732004,-1
-0.8,-0.853822010732004,-0.9
-0.829612299465241,-0.8,-1
-0.829612299465241,-0.8,-0.9
-0.859188951901858,-0.7,-1
-0.859188951901858,-0.7,-0.9
-0.87522719945629,-0.6,-1
-0.87522719945629,-0.6,-0.9
-0.885002136447799,-0.5,-1
-0.885002136447799,-0.5,-0.9
-0.891312597970464,-0.4,-1
-0.891312597970464,-0.4,-0.9
-0.895449343515263,-0.3,-1
-0.895449343515263,-0.3,-0.9
-0.898072170044488,-0.2,-1
-0.898072170044488,-0.2,-0.9
-0.899531210349878,-0.1,-1
-0.899531210349878,-0.1,-0.9
-0.899531210349878,0.1,-1
-0.899531210349878,0.1,-0.9
-0.898072170044488,0.2,-1
-0.898072170044488,0.2,-0.9
-0.895449343515263,0.3,-1
-0.895449343515263,0.3,-0.9
-0.891312597970464,0.4,-1
-0.891312597970464,0.4,-0.9
-0.885002136447799,0.5,-1
-0.885002136447799,0.5,-0.9
-0.87522719945629,0.6,-1
-0.87522719945629,0.6,-0.9
-0.859188951901858,0.7,-1
-0.859188951901858,0.7,-0.9
-0.829612299465241,0.8,-1
-0.829612299465241,0.8,-0.9
-0.8,0.853822010732004,-1
-0.8,0.853822010732004,-0.9
-0.7,-0.931630108511712,-1
-0.7,-0.931630108511712,-0.9
-0.75478142330452,-0.9,-1
-0.75478142330452,-0.9,-0.9
-0.75478142330452,0.9,-1
-0.75478142330452,0.9,-0.9
-0.7,0.931630108511711,-1
-0.7,0.931630108511711,-0.9
-0.6,-0.961917781466654,-1
-0.6,-0.961917781466654,-0.9
-0.6,0.961917781466654,-1
-0.6,0.961917781466654,-0.9
-0.5,-0.978046721080777,-1
-0.5,-0.978046721080777,-0.9
-0.5,0.978046721080777,-1
-0.5,0.978046721080777,-0.9
-0.4,-0.987664473684211,-1
-0.4,-0.987664473684211,-0.9
-0.4,0.987664473684211,-1
-0.4,0.987664473684211,-0.9
-0.3,-0.993662761411092,-1
-0.3,-0.993662761411092,-0.9
-0.3,0.993662761411092,-1
-0.3,0.993662761411092,-0.9
-0.2,-0.997347678538639,-1
-0.2,-0.997347678538639,-0.9
-0.2,0.997347678538639,-1
-0.2,0.997347678538639,-0.9
-0.1,-0.999359333443944,-1
-0.1,-0.999359333443944,-0.9
-0.1,0.999359333443944,-1
-0.1,0.999359333443944,-0.9
0,-1,-1
0,-1,-0.9
0,1,-1
0,1,-0.9
0.1,-0.999359333443944,-1
0.1,-0.999359333443944,-0.9
0.1,0.999359333443944,-1
0.1,0.999359333443944,-0.9
0.2,-0.997347678538639,-1
0.2,-0.997347678538639,-0.9
0.2,0.997347678538639,-1
0.2,0.997347678538639,-0.9
0.3,-0.993662761411092,-1
0.3,-0.993662761411092,-0.9
0.3,0.993662761411092,-1
0.3,0.993662761411092,-0.9
0.4,-0.987664473684211,-1
0.4,-0.987664473684211,-0.9
0.4,0.987664473684211,-1
0.4,0.987664473684211,-0.9
0.5,-0.978046721080777,-1
0.5,-0.978046721080777,-0.9
0.5,0.978046721080777,-1
0.5,0.978046721080777,-0.9
0.6,-0.961917781466654,-1
0.6,-0.961917781466654,-0.9
0.6,0.961917781466654,-1
0.6,0.961917781466654,-0.9
0.7,-0.931630108511712,-1
0.7,-0.931630108511712,-0.9
0.7,0.931630108511711,-1
0.7,0.931630108511711,-0.9
0.75478142330452,-0.9,-1
0.75478142330452,-0.9,-0.9
0.8,-0.853822010732004,-1
0.8,-0.853822010732004,-0.9
0.8,0.853822010732004,-1
0.75478142330452,0.9,-1
0.8,0.853822010732004,-0.9
0.75478142330452,0.9,-0.9
0.829612299465241,-0.8,-1
0.829612299465241,-0.8,-0.9
0.859188951901858,-0.7,-1
0.859188951901858,-0.7,-0.9
0.87522719945629,-0.6,-1
0.87522719945629,-0.6,-0.9
0.8850021364478,-0.5,-1
0.8850021364478,-0.5,-0.9
0.891312597970465,-0.4,-1
0.891312597970465,-0.4,-0.9
0.895449343515262,-0.3,-1
0.895449343515262,-0.3,-0.9
0.898072170044488,-0.2,-1
0.898072170044488,-0.2,-0.9
0.899531210349878,-0.1,-1
0.899531210349878,-0.1,-0.9
0.9,0,-1
0.9,0,-0.9
0.899531210349878,0.1,-1
0.899531210349878,0.1,-0.9
0.898072170044488,0.2,-1
0.898072170044488,0.2,-0.9
0.895449343515262,0.3,-1
0.895449343515262,0.3,-0.9
0.891312597970465,0.4,-1
0.891312597970465,0.4,-0.9
0.8850021364478,0.5,-1
0.8850021364478,0.5,-0.9
0.87522719945629,0.6,-1
0.87522719945629,0.6,-0.9
0.859188951901858,0.7,-1
0.859188951901858,0.7,-0.9
0.829612299465241,0.8,-1
0.829612299465241,0.8,-0.9
-0.9,0,-0.8
-0.8,-0.853822010732004,-0.8
-0.829612299465241,-0.8,-0.8
-0.859188951901858,-0.7,-0.8
-0.87522719945629,-0.6,-0.8
-0.885002136447799,-0.5,-0.8
-0.891312597970464,-0.4,-0.8
-0.895449343515263,-0.3,-0.8
-0.898072170044488,-0.2,-0.8
-0.899531210349878,-0.1,-0.8
-0.899531210349878,0.1,-0.8
-0.898072170044488,0.2,-0.8
-0.895449343515263,0.3,-0.8
-0.891312597970464,0.4,-0.8
-0.885002136447799,0.5,-0.8
-0.87522719945629,0.6,-0.8
-0.859188951901858,0.7,-0.8
-0.829612299465241,0.8,-0.8
-0.8,0.853822010732004,-0.8
-0.7,-0.931630108511712,-0.8
-0.75478142330452,-0.9,-0.8
-0.75478142330452,0.9,-0.8
-0.7,0.931630108511711,-0.8
-0.6,-0.961917781466654,-0.8
-0.6,0.961917781466654,-0.8
-0.5,-0.978046721080777,-0.8
-0.5,0.978046721080777,-0.8
-0.4,-0.987664473684211,-0.8
-0.4,0.987664473684211,-0.8
-0.3,-0.993662761411092,-0.8
-0.3,0.993662761411092,-0.8
-0.2,-0.997347678538639,-0.8
-0.2,0.997347678538639,-0.8
-0.1,-0.999359333443944,-0.8
-0.1,0.999359333443944,-0.8
0,-1,-0.8
0,1,-0.8
0.1,-0.999359333443944,-0.8
0.1,0.999359333443944,-0.8
0.2,-0.997347678538639,-0.8
0.2,0.997347678538639,-0.8
0.3,-0.993662761411092,-0.8
0.3,0.993662761411092,-0.8
0.4,-0.987664473684211,-0.8
0.4,0.987664473684211,-0.8
0.5,-0.978046721080777,-0.8
0.5,0.978046721080777,-0.8
0.6,-0.961917781466654,-0.8
0.6,0.961917781466654,-0.8
0.7,-0.931630108511712,-0.8
0.7,0.931630108511711,-0.8
0.75478142330452,-0.9,-0.8
0.8,-0.853822010732004,-0.8
0.8,0.853822010732004,-0.8
0.75478142330452,0.9,-0.8
0.829612299465241,-0.8,-0.8
0.859188951901858,-0.7,-0.8
0.87522719945629,-0.6,-0.8
0.8850021364478,-0.5,-0.8
0.891312597970465,-0.4,-0.8
0.895449343515262,-0.3,-0.8
0.898072170044488,-0.2,-0.8
0.899531210349878,-0.1,-0.8
0.9,0,-0.8
0.899531210349878,0.1,-0.8
0.898072170044488,0.2,-0.8
0.895449343515262,0.3,-0.8
0.891312597970465,0.4,-0.8
0.8850021364478,0.5,-0.8
0.87522719945629,0.6,-0.8
0.859188951901858,0.7,-0.8
0.829612299465241,0.8,-0.8
-0.9,0,-0.7
-0.8,-0.853822010732004,-0.7
-0.829612299465241,-0.8,-0.7
-0.859188951901858,-0.7,-0.7
-0.87522719945629,-0.6,-0.7
-0.885002136447799,-0.5,-0.7
-0.891312597970464,-0.4,-0.7
-0.895449343515263,-0.3,-0.7
-0.898072170044488,-0.2,-0.7
-0.899531210349878,-0.1,-0.7
-0.899531210349878,0.1,-0.7
-0.898072170044488,0.2,-0.7
-0.895449343515263,0.3,-0.7
-0.891312597970464,0.4,-0.7
-0.885002136447799,0.5,-0.7
-0.87522719945629,0.6,-0.7
-0.859188951901858,0.7,-0.7
-0.829612299465241,0.8,-0.7
-0.8,0.853822010732004,-0.7
-0.7,-0.931630108511712,-0.7
-0.75478142330452,-0.9,-0.7
-0.75478142330452,0.9,-0.7
-0.7,0.931630108511711,-0.7
-0.6,-0.961917781466654,-0.7
-0.6,0.961917781466654,-0.7
-0.5,-0.978046721080777,-0.7
-0.5,0.978046721080777,-0.7
-0.4,-0.987664473684211,-0.7
-0.4,0.987664473684211,-0.7
-0.3,-0.993662761411092,-0.7
-0.3,0.993662761411092,-0.7
-0.2,-0.997347678538639,-0.7
-0.2,0.997347678538639,-0.7
-0.1,-0.999359333443944,-0.7
-0.1,0.999359333443944,-0.7
0,-1,-0.7
0,1,-0.7
0.1,-0.999359333443944,-0.7
0.1,0.999359333443944,-0.7
0.2,-0.997347678538639,-0.7
0.2,0.997347678538639,-0.7
0.3,-0.993662761411092,-0.7
0.3,0.993662761411092,-0.7
0.4,-0.987664473684211,-0.7
0.4,0.987664473684211,-0.7
0.5,-0.978046721080777,-0.7
0.5,0.978046721080777,-0.7
0.6,-0.961917781466654,-0.7
0.6,0.961917781466654,-0.7
0.7,-0.931630108511712,-0.7
0.7,0.931630108511711,-0.7
0.75478142330452,-0.9,-0.7
0.8,-0.853822010732004,-0.7
0.8,0.853822010732004,-0.7
0.75478142330452,0.9,-0.7
0.829612299465241,-0.8,-0.7
0.859188951901858,-0.7,-0.7
0.87522719945629,-0.6,-0.7
0.8850021364478,-0.5,-0.7
0.891312597970465,-0.4,-0.7
0.895449343515262,-0.3,-0.7
0.898072170044488,-0.2,-0.7
0.899531210349878,-0.1,-0.7
0.9,0,-0.7
0.899531210349878,0.1,-0.7
0.898072170044488,0.2,-0.7
0.895449343515262,0.3,-0.7
0.891312597970465,0.4,-0.7
0.8850021364478,0.5,-0.7
0.87522719945629,0.6,-0.7
0.859188951901858,0.7,-0.7
0.829612299465241,0.8,-0.7
-0.9,0,-0.6
-0.8,-0.853822010732004,-0.6
-0.829612299465241,-0.8,-0.6
-0.859188951901858,-0.7,-0.6
-0.87522719945629,-0.6,-0.6
-0.885002136447799,-0.5,-0.6
-0.891312597970464,-0.4,-0.6
-0.895449343515263,-0.3,-0.6
-0.898072170044488,-0.2,-0.6
-0.899531210349878,-0.1,-0.6
-0.899531210349878,0.1,-0.6
-0.898072170044488,0.2,-0.6
-0.895449343515263,0.3,-0.6
-0.891312597970464,0.4,-0.6
-0.885002136447799,0.5,-0.6
-0.87522719945629,0.6,-0.6
-0.859188951901858,0.7,-0.6
-0.829612299465241,0.8,-0.6
-0.8,0.853822010732004,-0.6
-0.7,-0.931630108511712,-0.6
-0.75478142330452,-0.9,-0.6
-0.75478142330452,0.9,-0.6
-0.7,0.931630108511711,-0.6
-0.6,-0.961917781466654,-0.6
-0.6,0.961917781466654,-0.6
-0.5,-0.978046721080777,-0.6
-0.5,0.978046721080777,-0.6
-0.4,-0.987664473684211,-0.6
-0.4,0.987664473684211,-0.6
-0.3,-0.993662761411092,-0.6
-0.3,0.993662761411092,-0.6
-0.2,-0.997347678538639,-0.6
-0.2,0.997347678538639,-0.6
-0.1,-0.999359333443944,-0.6
-0.1,0.999359333443944,-0.6
0,-1,-0.6
0,1,-0.6
0.1,-0.999359333443944,-0.6
0.1,0.999359333443944,-0.6
0.2,-0.997347678538639,-0.6
0.2,0.997347678538639,-0.6
0.3,-0.993662761411092,-0.6
0.3,0.993662761411092,-0.6
0.4,-0.987664473684211,-0.6
0.4,0.987664473684211,-0.6
0.5,-0.978046721080777,-0.6
0.5,0.978046721080777,-0.6
0.6,-0.961917781466654,-0.6
0.6,0.961917781466654,-0.6
0.7,-0.931630108511712,-0.6
0.7,0.931630108511711,-0.6
0.75478142330452,-0.9,-0.6
0.8,-0.853822010732004,-0.6
0.8,0.853822010732004,-0.6
0.75478142330452,0.9,-0.6
0.829612299465241,-0.8,-0.6
0.859188951901858,-0.7,-0.6
0.87522719945629,-0.6,-0.6
0.8850021364478,-0.5,-0.6
0.891312597970465,-0.4,-0.6
0.895449343515262,-0.3,-0.6
0.898072170044488,-0.2,-0.6
0.899531210349878,-0.1,-0.6
0.9,0,-0.6
0.899531210349878,0.1,-0.6
0.898072170044488,0.2,-0.6
0.895449343515262,0.3,-0.6
0.891312597970465,0.4,-0.6
0.8850021364478,0.5,-0.6
0.87522719945629,0.6,-0.6
0.859188951901858,0.7,-0.6
0.829612299465241,0.8,-0.6
-0.9,0,-0.5
-0.8,-0.853822010732004,-0.5
-0.829612299465241,-0.8,-0.5
-0.859188951901858,-0.7,-0.5
-0.87522719945629,-0.6,-0.5
-0.885002136447799,-0.5,-0.5
-0.891312597970464,-0.4,-0.5
-0.895449343515263,-0.3,-0.5
-0.898072170044488,-0.2,-0.5
-0.899531210349878,-0.1,-0.5
-0.899531210349878,0.1,-0.5
-0.898072170044488,0.2,-0.5
-0.895449343515263,0.3,-0.5
-0.891312597970464,0.4,-0.5
-0.885002136447799,0.5,-0.5
-0.87522719945629,0.6,-0.5
-0.859188951901858,0.7,-0.5
-0.829612299465241,0.8,-0.5
-0.8,0.853822010732004,-0.5
-0.7,-0.931630108511712,-0.5
-0.75478142330452,-0.9,-0.5
-0.75478142330452,0.9,-0.5
-0.7,0.931630108511711,-0.5
-0.6,-0.961917781466654,-0.5
-0.6,0.961917781466654,-0.5
-0.5,-0.978046721080777,-0.5
-0.5,0.978046721080777,-0.5
-0.4,-0.987664473684211,-0.5
-0.4,0.987664473684211,-0.5
-0.3,-0.993662761411092,-0.5
-0.3,0.993662761411092,-0.5
-0.2,-0.997347678538639,-0.5
-0.2,0.997347678538639,-0.5
-0.1,-0.999359333443944,-0.5
-0.1,0.999359333443944,-0.5
0,-1,-0.5
0,1,-0.5
0.1,-0.999359333443944,-0.5
0.1,0.999359333443944,-0.5
0.2,-0.997347678538639,-0.5
0.2,0.997347678538639,-0.5
0.3,-0.993662761411092,-0.5
0.3,0.993662761411092,-0.5
0.4,-0.987664473684211,-0.5
0.4,0.987664473684211,-0.5
0.5,-0.978046721080777,-0.5
0.5,0.978046721080777,-0.5
0.6,-0.961917781466654,-0.5
0.6,0.961917781466654,-0.5
0.7,-0.931630108511712,-0.5
0.7,0.931630108511711,-0.5
0.75478142330452,-0.9,-0.5
0.8,-0.853822010732004,-0.5
0.8,0.853822010732004,-0.5
0.75478142330452,0.9,-0.5
0.829612299465241,-0.8,-0.5
0.859188951901858,-0.7,-0.5
0.87522719945629,-0.6,-0.5
0.8850021364478,-0.5,-0.5
0.891312597970465,-0.4,-0.5
0.895449343515262,-0.3,-0.5
0.898072170044488,-0.2,-0.5
0.899531210349878,-0.1,-0.5
0.9,0,-0.5
0.899531210349878,0.1,-0.5
0.898072170044488,0.2,-0.5
0.895449343515262,0.3,-0.5
0.891312597970465,0.4,-0.5
0.8850021364478,0.5,-0.5
0.87522719945629,0.6,-0.5
0.859188951901858,0.7,-0.5
0.829612299465241,0.8,-0.5
-0.9,0,-0.4
-0.8,-0.853822010732004,-0.4
-0.829612299465241,-0.8,-0.4
-0.859188951901858,-0.7,-0.4
-0.87522719945629,-0.6,-0.4
-0.885002136447799,-0.5,-0.4
-0.891312597970464,-0.4,-0.4
-0.895449343515263,-0.3,-0.4
-0.898072170044488,-0.2,-0.4
-0.899531210349878,-0.1,-0.4
-0.899531210349878,0.1,-0.4
-0.898072170044488,0.2,-0.4
-0.895449343515263,0.3,-0.4
-0.891312597970464,0.4,-0.4
-0.885002136447799,0.5,-0.4
-0.87522719945629,0.6,-0.4
-0.859188951901858,0.7,-0.4
-0.829612299465241,0.8,-0.4
-0.8,0.853822010732004,-0.4
-0.7,-0.931630108511712,-0.4
-0.75478142330452,-0.9,-0.4
-0.75478142330452,0.9,-0.4
-0.7,0.931630108511711,-0.4
-0.6,-0.961917781466654,-0.4
-0.6,0.961917781466654,-0.4
-0.5,-0.978046721080777,-0.4
-0.5,0.978046721080777,-0.4
-0.4,-0.987664473684211,-0.4
-0.4,0.987664473684211,-0.4
-0.3,-0.993662761411092,-0.4
-0.3,0.993662761411092,-0.4
-0.2,-0.997347678538639,-0.4
-0.2,0.997347678538639,-0.4
-0.1,-0.999359333443944,-0.4
-0.1,0.999359333443944,-0.4
0,-1,-0.4
0,1,-0.4
0.1,-0.999359333443944,-0.4
0.1,0.999359333443944,-0.4
0.2,-0.997347678538639,-0.4
0.2,0.997347678538639,-0.4
0.3,-0.993662761411092,-0.4
0.3,0.993662761411092,-0.4
0.4,-0.987664473684211,-0.4
0.4,0.987664473684211,-0.4
0.5,-0.978046721080777,-0.4
0.5,0.978046721080777,-0.4
0.6,-0.961917781466654,-0.4
0.6,0.961917781466654,-0.4
0.7,-0.931630108511712,-0.4
0.7,0.931630108511711,-0.4
0.75478142330452,-0.9,-0.4
0.8,-0.853822010732004,-0.4
0.8,0.853822010732004,-0.4
0.75478142330452,0.9,-0.4
0.829612299465241,-0.8,-0.4
0.859188951901858,-0.7,-0.4
0.87522719945629,-0.6,-0.4
