x,y,z
-0.4,0,-0.1
-0.4,-3.37507799486047e-15,-0.1
-0.4,0,-0.1
-0.4,3.37507799486047e-15,-0.1
-0.4,0,-0.1
0,-0.4,-0.1
0,-0.4,-0.1
-3.37507799486047e-15,-0.4,-0.1
0,-0.4,-0.1
0,0.4,-0.1
-3.37507799486047e-15,0.4,-0.1
3.37507799486047e-15,-0.4,-0.1
3.37507799486047e-15,0.4,-0.1
0.4,0,-0.1
0.4,-3.37507799486047e-15,-0.1
0.4,3.37507799486047e-15,-0.1
-0.5,0,0
-0.5,-1.77635683940025e-16,0
-0.5,1.77635683940025e-16,0
-0.4,-0.3,-1.77635683940025e-16
-0.4,-0.3,0
-0.4,-0.3,0
-0.4,-0.2,-0.0777087639996637
-0.445825083261524,-0.2,0
-0.4,-0.1,-0.0984845004941284
-0.482573503289911,-0.1,0
-0.4,0.1,-0.0984845004941284
-0.482573503289911,0.1,0
-0.4,0.2,-0.0777087639996637
-0.445825083261524,0.2,0
-0.4,0.3,-1.77635683940025e-16
-0.4,0.3,0
-0.4,0.3,0
-0.3,-0.4,-1.77635683940025e-16
-0.3,-0.4,0
-0.3,-0.4,0
-0.3,-0.3,-0.0941125496954281
-0.3,-0.2,-0.0844410203711913
-0.3,-0.1,-0.0298221281347033
-0.3,0,0
-0.3,-5.32907051820075e-16,0
-0.3,5.32907051820075e-16,0
-0.3,0.1,-0.0298221281347033
-0.3,0.2,-0.0844410203711913
-0.3,0.3,-0.0941125496954281
-0.3,0.4,0
-0.3,0.4,-1.77635683940025e-16
-0.3,0.4,0
-0.2,-0.4,-0.0777087639996637
-0.2,-0.445825083261524,0
-0.2,-0.3,-0.0844410203711913
-0.230615043721891,-0.2,0
-0.2,-0.230615043721891,0
-0.287624016652415,-0.1,0
-0.287624016652415,0.1,0
-0.230615043721891,0.2,0
-0.2,0.3,-0.0844410203711913
-0.2,0.230615043721891,0
-0.2,0.4,-0.0777087639996637
-0.2,0.445825083261524,0
-0.1,-0.4,-0.0984845004941284
-0.1,-0.482573503289911,0
-0.1,-0.3,-0.0298221281347033
-0.1,-0.287624016652415,0
-0.1,0.3,-0.0298221281347033
-0.1,0.287624016652415,0
-0.1,0.4,-0.0984845004941284
-0.1,0.482573503289911,0
0,-0.5,0
-1.77635683940025e-16,-0.5,0
0,-0.3,0
-5.32907051820075e-16,-0.3,0
-5.32907051820075e-16,0.3,0
0,0.3,0
0,0.5,0
-1.77635683940025e-16,0.5,0
1.77635683940025e-16,-0.5,0
0.1,-0.4,-0.0984845004941284
0.1,-0.482573503289911,0
0.1,-0.3,-0.0298221281347033
5.32907051820075e-16,-0.3,0
0.1,-0.287624016652415,0
0.1,0.3,-0.0298221281347033
0.1,0.287624016652415,0
5.32907051820075e-16,0.3,0
0.1,0.4,-0.0984845004941284
0.1,0.482573503289911,0
1.77635683940025e-16,0.5,0
0.2,-0.4,-0.0777087639996637
0.2,-0.445825083261524,0
0.2,-0.3,-0.0844410203711913
0.2,-0.230615043721891,0
0.2,0.3,-0.0844410203711913
0.2,0.230615043721891,0
0.2,0.4,-0.0777087639996637
0.2,0.445825083261524,0
0.3,-0.4,-1.77635683940025e-16
0.3,-0.4,0
0.3,-0.3,-0.0941125496954281
0.230615043721891,-0.2,0
0.3,-0.2,-0.0844410203711913
0.3,-0.1,-0.0298221281347033
0.287624016652415,-0.1,0
0.3,-5.32907051820075e-16,0
0.3,0.1,-0.0298221281347033
0.3,5.32907051820075e-16,0
0.287624016652415,0.1,0
0.3,0.2,-0.0844410203711913
0.230615043721891,0.2,0
0.3,0.3,-0.0941125496954281
0.3,0.4,-1.77635683940025e-16
0.3,0.4,0
0.3,-0.4,0
0.4,-0.3,-1.77635683940025e-16
0.4,-0.3,0
0.4,-0.2,-0.0777087639996637
0.4,-0.1,-0.0984845004941284
0.3,0,0
0.4,0.1,-0.0984845004941284
0.4,0.2,-0.0777087639996637
0.4,0.3,-1.77635683940025e-16
0.3,0.4,0
0.4,0.3,0
0.4,-0.3,0
0.445825083261524,-0.2,0
0.482573503289911,-0.1,0
0.5,0,0
0.5,-1.77635683940025e-16,0
0.5,1.77635683940025e-16,0
0.482573503289911,0.1,0
0.445825083261524,0.2,0
0.4,0.3,0
-0.4,-0.3,1.77635683940025e-16
-0.4,-0.2,0.0777087639996637
-0.4,-0.1,0.0984845004941284
-0.4,-3.37507799486047e-15,0.1
-0.4,0,0.1
-0.4,0.1,0.0984845004941284
-0.4,3.37507799486047e-15,0.1
-0.4,0.2,0.0777087639996637
-0.4,0.3,1.77635683940025e-16
-0.3,-0.4,1.77635683940025e-16
-0.3,-0.3,0.0941125496954281
-0.3,-0.2,0.0844410203711913
